date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
1950-01-03,11.27,Nasdaq Composite,1950,1,3,195001,19501,195001,1.0,False,0.04,0.04,0.0,0.0,0.04,0.0,0.0,11.27,True,11.27,0.0,False
1950-01-04,11.39,Nasdaq Composite,1950,1,4,195001,19501,195001,1.010647737355812,False,0.04,0.08,0.0,0.0,0.08,0.0,0.0,11.39,True,11.39,0.0,False
1950-01-05,11.45,Nasdaq Composite,1950,1,5,195001,19501,195001,1.0052677787532922,False,0.04,0.12,0.0,0.0,0.12,0.0,0.0,11.45,True,11.45,0.0,False
1950-01-06,11.48,Nasdaq Composite,1950,1,6,195001,19501,195001,1.0026200873362447,False,0.04,0.16,0.0,0.0,0.16,0.0,0.0,11.48,True,11.48,0.0,False
1950-01-07,11.56,Nasdaq Composite,1950,1,7,195001,19501,195001,1.0069686411149825,False,0.04,0.2,0.0,0.0,0.2,0.0,0.0,11.56,True,11.56,0.0,False
1950-01-09,11.55,Nasdaq Composite,1950,1,9,195001,19501,195002,0.9991349480968859,False,0.04,0.24,0.0,0.0,0.24,0.0,0.0,11.56,False,11.56,-0.0008650519031141446,False
1950-01-10,11.52,Nasdaq Composite,1950,1,10,195001,19501,195002,0.9974025974025973,False,0.04,0.28,0.0,0.0,0.28,0.0,0.0,11.56,False,11.56,-0.0034602076124568004,False
1950-01-11,11.56,Nasdaq Composite,1950,1,11,195001,19501,195002,1.0034722222222223,False,0.04,0.32,0.0,0.0,0.32,0.0,0.0,11.56,False,11.56,0.0,False
1950-01-12,11.33,Nasdaq Composite,1950,1,12,195001,19501,195002,0.9801038062283737,False,0.04,0.36,0.0,0.0,0.36,0.0,0.0,11.56,False,11.56,-0.019896193771626325,False
1950-01-13,11.27,Nasdaq Composite,1950,1,13,195001,19501,195002,0.9947043248014121,False,0.04,0.4,0.0,0.0,0.4,0.0,0.0,11.56,False,11.56,-0.025086505190311525,False
1950-01-14,11.26,Nasdaq Composite,1950,1,14,195001,19501,195002,0.9991126885536824,False,0.04,0.44,0.0,0.0,0.44,0.0,0.0,11.56,False,11.56,-0.02595155709342567,False
1950-01-16,11.31,Nasdaq Composite,1950,1,16,195001,19501,195003,1.0044404973357017,False,0.04,0.48,0.0,0.0,0.48,0.0,0.0,11.56,False,11.56,-0.021626297577854725,False
1950-01-17,11.4,Nasdaq Composite,1950,1,17,195001,19501,195003,1.0079575596816976,False,0.04,0.52,0.0,0.0,0.52,0.0,0.0,11.56,False,11.56,-0.01384083044982698,False
1950-01-18,11.39,Nasdaq Composite,1950,1,18,195001,19501,195003,0.9991228070175439,False,0.04,0.56,0.0,0.0,0.56,0.0,0.0,11.56,False,11.56,-0.014705882352941124,False
1950-01-19,11.41,Nasdaq Composite,1950,1,19,195001,19501,195003,1.0017559262510973,False,0.04,0.6,0.0,0.0,0.6,0.0,0.0,11.56,False,11.56,-0.012975778546712835,False
1950-01-20,11.43,Nasdaq Composite,1950,1,20,195001,19501,195003,1.0017528483786151,False,0.04,0.64,0.0,0.0,0.64,0.0,0.0,11.56,False,11.56,-0.011245674740484546,False
1950-01-21,11.45,Nasdaq Composite,1950,1,21,195001,19501,195003,1.0017497812773404,False,0.04,0.68,0.0,0.0,0.68,0.0,0.0,11.56,False,11.56,-0.009515570934256146,False
1950-01-23,11.44,Nasdaq Composite,1950,1,23,195001,19501,195004,0.9991266375545852,False,0.04,0.72,0.0,0.0,0.72,0.0,0.0,11.56,False,11.56,-0.01038062283737029,False
1950-01-24,11.4,Nasdaq Composite,1950,1,24,195001,19501,195004,0.9965034965034966,False,0.04,0.76,0.0,0.0,0.76,0.0,0.0,11.56,False,11.56,-0.01384083044982698,False
1950-01-25,11.32,Nasdaq Composite,1950,1,25,195001,19501,195004,0.9929824561403509,False,0.04,0.8,0.0,0.0,0.8,0.0,0.0,11.56,False,11.56,-0.02076124567474047,False
1950-01-26,11.31,Nasdaq Composite,1950,1,26,195001,19501,195004,0.9991166077738516,False,0.04,0.84,0.0,0.0,0.84,0.0,0.0,11.56,False,11.56,-0.021626297577854725,False
1950-01-27,11.37,Nasdaq Composite,1950,1,27,195001,19501,195004,1.0053050397877983,False,0.04,0.88,0.0,0.0,0.88,0.0,0.0,11.56,False,11.56,-0.016435986159169635,False
1950-01-28,11.43,Nasdaq Composite,1950,1,28,195001,19501,195004,1.0052770448548813,False,0.04,0.92,0.0,0.0,0.92,0.0,0.0,11.56,False,11.56,-0.011245674740484546,False
1950-01-30,11.51,Nasdaq Composite,1950,1,30,195001,19501,195005,1.0069991251093613,False,0.04,0.96,0.0,0.0,0.96,0.0,0.0,11.56,False,11.56,-0.004325259515570945,False
1950-01-31,11.53,Nasdaq Composite,1950,1,31,195001,19501,195005,1.0017376194613379,False,0.04,1.0,0.0,0.0,1.0,0.0,0.0,11.56,False,11.56,-0.002595155709342656,False
1950-02-01,11.53,Nasdaq Composite,1950,2,1,195002,19501,195005,1.0,False,0.045454545454545456,1.0454545454545454,0.0,0.0,1.0454545454545454,0.0,0.0,11.56,False,11.56,-0.002595155709342656,False
1950-02-02,11.65,Nasdaq Composite,1950,2,2,195002,19501,195005,1.0104076322636601,False,0.045454545454545456,1.0909090909090908,0.0,0.0,1.0909090909090908,0.0,0.0,11.65,True,11.65,0.0,False
1950-02-03,11.69,Nasdaq Composite,1950,2,3,195002,19501,195005,1.0034334763948498,False,0.045454545454545456,1.1363636363636365,0.0,0.0,1.1363636363636365,0.0,0.0,11.69,True,11.69,0.0,False
